"time","as7.y","add.y"
16880,146024782.1465212,145455297.5970694
16920,146024782.1465212,145431569.0194623
16920,150610576.3532277,145431569.0194623
16960,150610576.3532277,147069800.4600591
17040,150610576.3532277,151239602.662912
17100,150610576.3532277,151865126.2216187
17100,151729427.3023189,151865126.2216187
17120,151729427.3023189,151905757.0258705
17200,151729427.3023189,152426129.2086455
17280,151729427.3023189,152289763.2348752
17280,148724677.4760746,152289763.2348752
17360,148724677.4760746,149405060.2847619
17440,148724677.4760746,147938331.7882352
17460,148724677.4760746,147909377.247723
17460,153798383.3280071,147909377.247723
17520,153798383.3280071,151222907.4571344
17600,153798383.3280071,154860139.7816422
17640,153798383.3280071,155143478.7145103
17640,152501813.8450103,155143478.7145103
17680,152501813.8450103,154535390.0472606
17760,152501813.8450103,152818305.7015023
17820,152501813.8450103,152372752.4375698
17820,148813337.2663398,152372752.4375698
17840,148813337.2663398,152002037.7493622
17920,148813337.2663398,148482003.4580289
18000,148813337.2663398,147673485.594992
18000,147749236.4078026,147673485.594992
18000.00000360018,147749236.4078026,147673485.6042408
18000.00000360018,177749236.4078026,147673485.6042408
18080,177749236.4078026,185367898.022987
18160,177749236.4078026,179259888.5321521
18180,177749236.4078026,178020330.658756
18180,178285302.7359642,178020330.658756
18240,178285302.7359642,176708700.0454479
18320,178285302.7359642,177338464.4235212
18360,178285302.7359642,177700176.0514914
18360,180321691.924292,177700176.0514914
18400,180321691.924292,178632601.4749773
18480,180321691.924292,180611327.8992003
18540,180321691.924292,180894484.3067393
18540,180604587.0209956,180894484.3067393
18560,180604587.0209956,180890859.6480879
18640,180604587.0209956,180907051.9714063
18720,180604587.0209956,180791167.146965
18720,178868003.6070801,180791167.146965
18800,178868003.6070801,179188059.8161178
18880,178868003.6070801,178386259.4953656
18900,178868003.6070801,178376252.6228019
18900,178403757.8081326,178376252.6228019
18960,178403757.8081326,178224012.6786605
19040,178403757.8081326,178131108.0843043
19080,178403757.8081326,178178836.4971329
19080,181533548.9915285,178178836.4971329
19120,181533548.9915285,179282078.3782765
19200,181533548.9915285,182044463.4512086
19260,181533548.9915285,182427246.3798611
19260,181404319.5349904,182427246.3798611
19280,181404319.5349904,182365911.1433789
19360,181404319.5349904,181839898.2064125
19440,181404319.5349904,181525813.3234397
19440,180089478.38738,181525813.3234397
19520,180089478.38738,180295005.4156762
19600,180089478.38738,179707858.1788791
19620,180089478.38738,179704389.4198131
19620,180986551.4817148,179704389.4198131
19680,180986551.4817148,180361045.1827101
19760,180986551.4817148,181103623.5390162
19800,180986551.4817148,181183464.3493537
19800,177896211.3961462,181183464.3493537
19840,177896211.3961462,180142537.9553703
19920,177896211.3961462,177418580.4718547
19980,177896211.3961462,177027774.762755
19980,179799587.8265149,177027774.762755
20000,179799587.8265149,177244280.854929
20080,179799587.8265149,179467939.5778402
20160,179799587.8265149,180203254.2320365
20160,176592909.8441968,180203254.2320365
20240,176592909.8441968,177326749.183785
20320,176592909.8441968,175771073.5984271
20340,176592909.8441968,175737049.6603451
20340,180326309.1655487,175737049.6603451
20400,180326309.1655487,178235712.1126047
20480,180326309.1655487,181022577.1915525
20520,180326309.1655487,181266513.9617258
20520,179170888.6101684,181266513.9617258
20560,179170888.6101684,180774292.3789083
20640,179170888.6101684,179359116.6831312
20700,179170888.6101684,179013747.5516368
20700,179913783.994134,179013747.5516368
20720,179913783.994134,179054877.5093042
20800,179913783.994134,179826407.1580769
20880,179913783.994134,180083179.0378903
20880,181036920.5461465,180083179.0378903
20960,181036920.5461465,180998057.0598725
21040,181036920.5461465,181412934.2892874
21060,181036920.5461465,181403401.9345419
21060,180024813.6039107,181403401.9345419
21120,180024813.6039107,180669588.8503802
21200,180024813.6039107,179865060.6671087
21240,180024813.6039107,179786320.7583222
21240,177968457.8671868,179786320.7583222
21280,177968457.8671868,179123681.8282734
21360,177968457.8671868,177483194.2571022
21420,177968457.8671868,177313924.2592531
21420,174823287.2411204,177313924.2592531
